Year,Month,Anomaly,,,
2002,1,0.1838,,,
2002,2,0.273402,,,
2002,3,0.352218,,,
2002,4,0.284217,,,
2002,5,0.262309,,,
2002,6,0.285806,,,
2002,7,0.191453,,,
2002,8,0.238239,,,
2002,9,0.295123,,,
2002,10,0.247074,,,
2002,11,0.196688,,,
2002,12,0.139112,,,
2003,1,0.175715,,,
2003,2,0.060121,,,
2003,3,0.180418,,,
2003,4,0.178254,,,
2003,5,0.368744,,,
2003,6,0.395603,,,
2003,7,0.485251,,,
2003,8,0.612411,,,
2003,9,0.634587,,,
2003,10,0.54584,,,
2003,11,0.487791,,,
2003,12,0.384878,,,
2004,1,0.322968,,,
2004,2,0.358734,,,
2004,3,0.340829,,,
2004,4,0.333638,,,
2004,5,0.360472,,,
2004,6,0.501016,,,
2004,7,0.581311,,,
2004,8,0.605964,,,
2004,9,0.479217,,,
2004,10,0.514809,,,
2004,11,0.497004,,,
2004,12,0.271762,,,
2005,1,0.304187,,,
2005,2,0.280117,,,
2005,3,0.284132,,,
2005,4,0.360514,,,
2005,5,0.408027,,,
2005,6,0.485196,,,
2005,7,0.643509,,,
2005,8,0.654433,,,
2005,9,0.625893,,,
2005,10,0.579729,,,
2005,11,0.544245,,,
2005,12,0.331557,,,
2006,1,0.254836,,,
2006,2,0.254203,,,
2006,3,0.251257,,,
2006,4,0.251489,,,
2006,5,0.329542,,,
2006,6,0.381339,,,
2006,7,0.529494,,,
2006,8,0.584074,,,
2006,9,0.543232,,,
2006,10,0.550487,,,
2006,11,0.556178,,,
2006,12,0.399371,,,
2007,1,0.446237,,,
2007,2,0.395658,,,
2007,3,0.30698,,,
2007,4,0.222205,,,
2007,5,0.218625,,,
2007,6,0.279823,,,
2007,7,0.303395,,,
2007,8,0.375377,,,
2007,9,0.42951,,,
2007,10,0.513222,,,
2007,11,0.416659,,,
2007,12,0.306804,,,
2008,1,0.26922,,,
2008,2,0.253104,,,
2008,3,0.328157,,,
2008,4,0.366039,,,
2008,5,0.387586,,,
2008,6,0.504516,,,
2008,7,0.569403,,,
2008,8,0.499134,,,
2008,9,0.453659,,,
2008,10,0.459696,,,
2008,11,0.411469,,,
2008,12,0.29856,,,
2009,1,0.306577,,,
2009,2,0.301806,,,
2009,3,0.258047,,,
2009,4,0.279334,,,
2009,5,0.272583,,,
2009,6,0.527165,,,
2009,7,0.558495,,,
2009,8,0.487251,,,
2009,9,0.290623,,,
2009,10,0.384483,,,
2009,11,0.366547,,,
2009,12,0.373363,,,